feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X7a719f10db03cf19d136e08224ba0da9	antidepressant_on_off	on	-0.010197653861292	0.0175452799923384	104	34	0.562374880064371	0.963256048152776
dc0a91a3f930fef8628944f01c976b6a	antidepressant_on_off	on	0.00672735818927114	0.0171912462388503	104	35	0.69637356317273	0.963256048152776
X2fd96dc0d1649785e2b695005e5b6cbb	antidepressant_on_off	on	-0.00136069890336499	0.0182186326337369	104	24	0.940609863073781	0.963256048152776
X7130d2759c244668bb8c5e95013d039a	antidepressant_on_off	on	-0.0100221224964609	0.0175877503744749	104	50	0.570042294947101	0.963256048152776
f8f3495ffa8ad111c9a314f196b839e4	antidepressant_on_off	on	0.0033435391660403	0.0178387103006157	104	26	0.851694535514477	0.963256048152776
X5cf08d107f10bc4571dd491a9bcb59b3	antidepressant_on_off	on	-0.0117369877197405	0.0199189363225535	104	12	0.557004670477632	0.963256048152776
X05b3c37966de355dc39930c4103ff589	antidepressant_on_off	on	-0.0123499072141572	0.0190555659271772	104	28	0.518376717523625	0.963256048152776
X001f5b5d17a34cb4bb03f20e9b6dc5df	antidepressant_on_off	on	-0.00637174993431269	0.0183140987216058	104	30	0.728620975640286	0.963256048152776
X7c9d107e91d815d347bc278420773c54	antidepressant_on_off	on	-0.00709513146726348	0.0189673500876647	104	23	0.709128125549242	0.963256048152776
X05f8c43bb34deb40cbcc164e64410db6	antidepressant_on_off	on	-0.00579044649807539	0.0194516068904388	104	18	0.766549262636495	0.963256048152776
f1767e229fc331132c66ba7f47cc3ea3	antidepressant_on_off	on	0.0041497318841105	0.0178281745446669	104	36	0.816412197806275	0.963256048152776
X4790469e65b73b73a8cee2300ea51fa7	antidepressant_on_off	on	-0.00233041624108793	0.0212393264381988	104	21	0.912845625874141	0.963256048152776
X26b0599c6f3f889fc1441babff4f74cd	antidepressant_on_off	on	-0.00318222295061883	0.0182372344070699	104	23	0.861825919654859	0.963256048152776
X2cededbc6f5d2e4e6460d95dd642ab39	antidepressant_on_off	on	-0.00305347023356093	0.0188903193863716	104	24	0.871907481955858	0.963256048152776
X06f459e94bb69e7b8f7bdffcea3e2dc2	antidepressant_on_off	on	0.00545962670673903	0.018906919280605	104	27	0.773348461344011	0.963256048152776
e3b9d440eb993245b3b1d99e260ecc19	antidepressant_on_off	on	0.0106439166886697	0.015401645357716	104	73	0.491079093778048	0.963256048152776
X5e22ac39af6385a9a5d7a57992e0d8ba	antidepressant_on_off	on	0.00618936820389857	0.016886744314199	104	58	0.714734576498356	0.963256048152776
X932d0c1f666b3a433687e95af993451a	antidepressant_on_off	on	0.00110467895881615	0.0150845614475598	104	58	0.94176458419902	0.963256048152776
X7ef15f834ddeffade9a799c5697cc61a	antidepressant_on_off	on	-0.00184132752474517	0.0183766642357069	104	45	0.920382840741741	0.963256048152776
X68125101a0cb11e3324fde7378226ba1	antidepressant_on_off	on	0.00174597785488756	0.0168175794785832	104	45	0.91751714944525	0.963256048152776
fc89b71ba14dc877e9e8527e6ed60391	antidepressant_on_off	on	0.00400385580660866	0.015244506327319	104	60	0.793355858941835	0.963256048152776
X80ab11a5d085a5bcce2d24702f32bef1	antidepressant_on_off	on	-0.00816067697446614	0.0156056546770158	104	59	0.602156527793624	0.963256048152776
X973fc25b140faf326d124b9e2b6c8abf	antidepressant_on_off	on	-0.00419232589756972	0.0193912935938369	104	16	0.829266516652073	0.963256048152776
X484cb0f953ccaafa5a0308ae49649e41	antidepressant_on_off	on	0.00871618075948794	0.0162393863079954	104	55	0.592622283848736	0.963256048152776
X73e5b567bf8428743df8b7f78c8ec1b0	antidepressant_on_off	on	0.00885691922185377	0.0180400279812925	104	28	0.624509901830309	0.963256048152776
X35fdc9ee28cfc2bbde8d1a15cbb278fe	antidepressant_on_off	on	0.00906917211029779	0.0148345546585091	104	64	0.542325037444609	0.963256048152776
