"","taxon","lfc_(Intercept)","lfc_antidepressant_on_offon","se_(Intercept)","se_antidepressant_on_offon","W_(Intercept)","W_antidepressant_on_offon","p_(Intercept)","p_antidepressant_on_offon","q_(Intercept)","q_antidepressant_on_offon","diff_(Intercept)","diff_antidepressant_on_offon","passed_ss_(Intercept)","passed_ss_antidepressant_on_offon","diff_robust_(Intercept)","diff_robust_antidepressant_on_offon"
"43","7c9d107e91d815d347bc278420773c54",-0.0972208041859734,0.146241036095551,0.129018272010761,0.198976396987792,-0.753542910401591,0.734966751380687,0.459489604416126,0.470488515143345,0.593676834024375,0.607887816025914,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"44","da04216f075e5d1b2cddc09c16442df9",0.122509431224161,-0.159443816096992,0.0916413891629543,0.200911365646424,1.33683516087167,-0.793602768982172,0.191004981505823,0.433459565820881,0.32426427092849,0.575319060089533,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"45","8d7c014aca86872e7451df4c18536eab",0.407600603036595,-0.810999804859575,0.0828083653110567,0.160625482813977,4.92221530403972,-5.04901084592417,0.000128986287582798,9.89109644015852e-05,0.000818782521177759,0.00133173458667581,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"46","a80bf7b1576855543aaeed1c9d8be02d",0.240933754218115,-0.1378319441244,0.112451352832838,0.192326302070284,2.14255985498253,-0.71665675802382,0.0424984521510535,0.480502441430027,0.100077000226674,0.615014640335494,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"47","05f8c43bb34deb40cbcc164e64410db6",-0.00136183047186726,0.314641444092966,0.130826952684096,0.207656893656211,-0.0104094029856037,1.51519864596393,0.991823337043513,0.149227236314182,0.991901883135862,0.265697274413055,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"48","f1767e229fc331132c66ba7f47cc3ea3",0.137412049270072,0.0103310040914098,0.148074476460737,0.245197916298768,0.927992808446686,0.0421333274252692,0.359952753712015,0.966638875388587,0.515226490607394,0.971897850970268,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"49","4790469e65b73b73a8cee2300ea51fa7",-0.00270760556937294,0.654810216692342,0.206033011822,0.283635527809278,-0.0131416103925722,2.3086325671185,0.989651826080339,0.0323743779340711,0.991901883135862,0.0968018229347857,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"50","06a8b3896e4a86a7c3116e0f4243320c",0.00145818933546162,0.402361479541308,0.040629489825779,0.137228090831482,0.0358899248234323,2.93206352360768,0.971960245739232,0.0125557533161401,0.991901883135862,0.0482405258988542,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"51","a7e85c6aac48df33665b07f5620aeef2",-0.054323373435561,0.0227679875064645,0.0632140723694533,0.1512458904673,-0.859355700390084,0.150536238942552,0.405712465827965,0.882652232625112,0.557181067212786,0.913105374724729,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"52","ce8273b6d1fea2b1dca4e24ea7b6a20f",-0.293439313401113,0.547994400766937,0.15031621630732,0.283194467482249,-1.9521467517595,1.93504627981931,0.0594484203998808,0.0615937682602251,0.12763925556445,0.147421150262178,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"53","0e21cc1bf0d4d2cf722112c5a4ae3134",-0.524381521704684,0.923478696658146,0.200665244637112,0.312003137963551,-2.61321547063613,2.95983784870148,0.0113206598922843,0.00440185200509596,0.0359307900929022,0.0244670380978302,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"54","26b0599c6f3f889fc1441babff4f74cd",-0.0513803326504784,0.107788943863239,0.09047563001986,0.173584863692365,-0.567891405002651,0.620958196299115,0.57613082514652,0.54130903442051,0.725130176477516,0.664127050633567,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"55","babe546a127e4bbe62e70c16fdffa445",-0.17063129341352,0.541076308465976,0.135091937925581,0.245365175498085,-1.26307532509835,2.20518786892885,0.213875260769579,0.0332516943445249,0.354838500822256,0.0968018229347857,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"56","68a1c62a19d5dd68a1040859934424ab",0.644400807621809,-0.911001694190587,0.341034347860261,0.459994469163718,1.8895481105201,-1.98046227783306,0.0632119838470978,0.0518224453353948,0.131842137738232,0.126101283649461,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"57","2cededbc6f5d2e4e6460d95dd642ab39",0.137504840942397,0.122866789478857,0.108777276866714,0.202960573246316,1.26409526790125,0.605372696349964,0.219425619177836,0.551125852769423,0.359956633707462,0.670536454202798,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"58","f929e8cafcf24c0b194d9e48dbc3b231",0.0645593614720835,0.22124445372674,0.194122743475049,0.269005345977086,0.332569797419855,0.822453743151951,0.741771835045609,0.417308167311826,0.83952471253224,0.572285732308382,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"59","4cc94dcec64fcf2693e3fd9bf39bf861",0.306663697518951,-0.364711414112472,0.157950111352485,0.230507657782536,1.941522515515,-1.58220953534024,0.0645434095901336,0.12725695233362,0.13272306760788,0.243243248528399,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"60","04ed5d51a7dfe83b5376c26987e076cd",0.450098667326144,-0.506045503112047,0.224188508472382,0.301545749826168,2.00767947649552,-1.67817156568702,0.0520218947943736,0.101742010799563,0.118674947499665,0.215280196764293,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"61","06f459e94bb69e7b8f7bdffcea3e2dc2",-0.130976107001727,0.300643157713197,0.15809497277514,0.251272488463992,-0.828464717774518,1.19648258968184,0.415247002209144,0.242732457818233,0.557181067212786,0.389438888367714,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"62","2dd19b4e6a7867a118b429880e0949d3",0.256914182007709,-0.0746419603585433,0.0726819390081953,0.166716695176464,3.53477336341757,-0.447717370354165,0.00411015607394045,0.66233244943172,0.0162184536971704,0.757977226981917,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"63","6a506a10888b7f86ae1e463f5d186473",0.773071331285598,-1.06795398728796,0.172555421851747,0.281862208088591,4.48013353037259,-3.7889222344852,6.63467538849785e-05,0.000525394371269723,0.000495054901650272,0.00479422363783622,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"64","000d78770aa3b46d4f84568a723d1c62",0.591200378846825,-0.595200972891588,0.11790591344362,0.198300899974804,5.01417071951632,-3.00150414328535,6.65282232172247e-05,0.0070519805404485,0.000495054901650272,0.0311996714819843,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"65","e3b9d440eb993245b3b1d99e260ecc19",-0.395028942447892,0.879062024626394,0.301814067067163,0.401522798507332,-1.30884867722214,2.18932032724996,0.194806237093153,0.0318622006061093,0.326916213972417,0.0968018229347857,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"66","f2ae9532a9ca729854cdf2c07064f994",-0.226101940411115,0.564211866545023,0.212985850532535,0.317635447225016,-1.06158197760924,1.77628747507305,0.292237169892644,0.0802257080381417,0.458780933379849,0.182739441683842,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"67","5e22ac39af6385a9a5d7a57992e0d8ba",-0.137926300006408,0.294035924733714,0.215823054683257,0.312614666556015,-0.639071206775521,0.940569833056851,0.525382107209737,0.350965033455696,0.667006849153232,0.505498885621064,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"68","110ad3992f825e7203f1923383607888",-0.449083814971049,0.747828575516803,0.167984142193115,0.310780471221832,-2.67337029024312,2.40629204459572,0.0112160404596945,0.0213737187516162,0.0359307900929022,0.0693458430607994,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"69","86ec537716ccea996d29a025dbd0e0da",0.835968622354516,-1.20427445308392,0.189893060467491,0.271531527303464,4.40231265058595,-4.43511832693382,0.000118085668006949,0.000107609160090873,0.000783659433137023,0.00133173458667581,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
